"No.","Scan List Name","Scan Channel Member","Scan Mode","Priority Channel Select","Priority Channel 1","Priority Channel 2","Revert Channel","Look Back Time A[s]","Look Back Time B[s]","Dropout Delay Time[s]","Dwell Time[s]"
"1","Hagsatra","pi-star|openSPOT2|Crossbandsrptr|145.500","Off","Off","Off","Off","Selected","0.0","0.0","0.0","0.0"
"2","SM0","Arlanda U|Botkyrka 2 U|Brottby 2 U|Dalaro U|Djuro U|Haninge 1 VS|Haninge 2 U|Haninge 3 U|Haninge 4 U|Haninge 5 U|Hogdalen V|Ingaro 2 VSE|Johanneshov U|Kista 3 US|Kopparmora UL|Rimbo U|Sandhamn UL|Sigtuna U|Stockholm 1 VS|Stockholm 2 VS|Stockholm 3 U|Soder U|Sodertalje 4 U|Sodertalje 5 V|Tyreso U+|Taby 2 U|Upplands_Vas 1 U|Upplands_Vas 2 U|Vallentuna 4 U|Vallentuna 5 U|Vallentuna 6 V|Vallentuna 8 U|Varmdo U|Vastberga 1 V|Vastberga 2 U|Almsta 1 V|Almsta 2 U|Mariefred VS|145.500","Off","Off","Off","Off","Selected","0.0","0.0","0.0","0.0"
"3","SM1","Endre V|Slite U|Visby VS|145.500","Off","Off","Off","Off","Selected","0.0","0.0","0.0","0.0"
"4","SM2","Arjeplog V|Boden 1 V|Boden 2 U|Burtrask US|Kalix 1 V|Kalix 3 U|Kalix-Vattento U|Kiruna 1 V|Kiruna 2 U|Kiruna 3 U|Lulea 1 V|Lulea 2 U|Lycksele V|Pitea 1 V|Pitea 2 U|Pitea 3 U|Seskaro V|Skelleftea 1 V|Skelleftea 2 V|Skelleftea 3 US|Skelleftea 4 V|Storuman 1 V|Storuman 2 US|Umea V|Vannas 1 V|Vannas 2 USE|Vannas 3 U|Alvsbyn VS|Aspliden V|145.500","Off","Off","Off","Off","Selected","0.0","0.0","0.0","0.0"
"5","SM3","Bollnas 2 V|Borgsjo VS|Forsa 2 V|Forsa 3 U|Follinge U|Gavle 1 U|Gavle 2 US|Hoting V|Hudiksvall 1 V|Hudiksvall 2 U|Harnosand U|Kramfors U|Krokom UL|Nordingra 1 V|Nordingra 2 U|Nyland 1 V|Nyland 2 U|Raftsjohojden V|Sandviken 1 VS|Sandviken 3 US|Solleftea 1 V|Solleftea 2 U|Sundsvall 1 VSE|Soderhamn 2 V|Soderhamn 4 U|Arsunda U|Ornskoldsvi 2 VS|Ornskoldsvi 3 US|Ornskoldsvik 4 U|Osterfarneb 2 US|Ostersund 1 V|Ostersund 2 VS|Ostersund 3 U|Ostersund 4 UE|145.500","Off","Off","Off","Off","Selected","0.0","0.0","0.0","0.0"
"6","SM4","Arvika 1 U|Borlange 1 US|Borlange 2 U|Eksharad UHI|Falun 1 VS|Falun 2 U|Garphyttan V|Grums U|Grangesberg VL|Hagfors 2 VE|Karlskoga 1 V|Karlskoga 2 U|Karlstad VS|Kopparberg 1 V|Leksand 2 VI|Lindesberg 1 V|Lindesberg 2 VLS|Ludvika 1 V|Ludvika 2 U|Ludvika 3 V|Malung VH|Mora 3 U|Nybble VLS|Nyhammar VL|Orsa 1 VE|Orsa 2 US|Orsa 3 VLS|Sunne 1 V|Sunne 2 UHI|Salen VS|Torsby 1 VL|Torsby 2 U|Vansbro 1 V|Vansbro 3 U|Arjang V|Alvdalen 1 ULS|Orebro 1 VS|Orebro 2 U|Vansbro 4 U|145.500","Off","Off","Off","Off","Selected","0.0","0.0","0.0","0.0"
"7","SM5","Arboga 1 V|Arboga 2 U|Eskilstuna 2 VSE|Eskilstuna 3 US|Eskilstuna 4 U|Finspang 1 U|Finspang 3 U|Flen 1 V|Flen 2 V|Flen 3 US|Jarlasa 2 V|Kisa V|Knivsta U|Linkoping 2 V|Linkoping 3 VS|Linkoping 6 US|Motala V|Norrkoping 2 V|Norrkoping 3 US|Norrkoping 4 U|Nykoping 2 U|Sala 1 VE|Stigtomta VLF|Uppsala 1 VS|Uppsala 2 V|Uppsala 3 UH|Uppsala 4 U|Uppsala 5 U|Uppsala 6 U|Uppsala 8 VLS|Uppsala 9 ULS|Vasteras 1 VS|Vasteras 3 US|Atvidaberg VSE|Stallarholmen US|145.500","Off","Off","Off","Off","Selected","0.0","0.0","0.0","0.0"
"8","SM6 Gbg","Angered U|Floda 1 ULI|Guldheden 1 U|Guldheden 2 VLE|Guldheden 3 U|Guldheden 4 U|Guldheden 5 VS|Guldheden 6 VLE|Hono 1 VLE|Kortedala 1 VLE|Kortedala 2 V|Kungsbacka 1 VLE|Kungsbacka 2 V|Kungsbacka 3 U|Kungalv 2 U|Langedrag VLE|Molndal 1 VE|Molndal 2 UE|Molnlycke VLE|Amal U|Ockero 1 VS|Ockero 2 U|145.500","Off","Off","Off","Off","Selected","0.0","0.0","0.0","0.0"
"9","SM6 Norr","Alingsas 2 V|Alingsas 3 U|Alingsas 4 US|Bengtsfors 1 V|Bengtsfors 2 U|Bokenas VS|Dingle U|Hemsjo U|Hjo VLS|Karlsborg 1 V|Karlsborg 2 UL|Kinnekulle 1 V|Kinnekulle 2 U|Kungshamn VS|Lerum U|Lysekil US|Mariestad UE|Myggenas VLE|Skara 3 U|Skovde 1 V|Skovde 2 U|Stenungsun 2 VSE|Tanumshede VS|Tidaholm V|Trollhattan 1 V|Uddevalla 1 VS|Ulricehamn 1 V|Ulricehamn 2 U|Vedum VS|Vargarda U|Alvangen U|145.500","Off","Off","Off","Off","Selected","0.0","0.0","0.0","0.0"
"10","SM6 Syd","Boras 1 VLE|Boras 2 V|Boras 3 U|Boras 4 U|Boras 5 VLS|Falkenberg VS|Halmstad 1 VS|Halmstad 2 U|Halmstad 3 U|Kullavik VLS|Skene 1 VSEI|Skene 2 UHI|Skene 3 USEI|Skarsjon VLE|Torup US|Varberg 1 V|Varberg 2 U|Orby 1 VLSE|Orby 2 ULA|Orby 3 VLS|145.500","Off","Off","Off","Off","Selected","0.0","0.0","0.0","0.0"
"11","SM7 Skane","Bjarnum|Blentarp 2 U|Blentarp 3 V|Eslov 2 U|Everod VLS|Gladsax 1 VI|Gladsax 2 U|Hallandsas 1 VS|Hallandsas 2 US|Helsingborg 2 U|Horja V|Hoor U|Kristiansta 1 VS|Kristianstad 2 U|Lund 2 U|Lund 3 U|Lund 4 V|Lonsboda 2 U|Malmo 1 UI|Malmo 2 U|Sjobo U|Soderasen 1 VS|Soderasen 2 U|Soderasen 3 VLA|Tomelilla U|Vitaby V|Orkelljunga U|145.500","Off","Off","Off","Off","Selected","0.0","0.0","0.0","0.0"
"12","SM7 Ovriga","Algutsrum 1 VSE|Algutsrum 2 UI|Algutsrum 3 USE|Bredaryd V|Borgholm 1 VSE|Borgholm 2 USE|Borgholm 3 VLS|Bruzaholm U|Boda VSE|Ekenassjon 1 VH|Ekenassjon 2 V|Eksjo U|Emmaboda 1 V|Emmaboda 2 U|Everod VLS|Farjestaden VLSE|Hillerstorp U|Hultsfred V|Huskvarna 1 U|Huskvarna 2 V|Jonkoping 3 U|Jonkoping 4 VS|Karlshamn U|Karlskrona 1 V|Karlskrona 2 U|Linderod VI|Ljungby VSE|Moheda VSE|Morbylanga VSE|Nybro V|Nassjo 1 V|Nassjo 2 V|Nassjo 3 U|Nassjo 4 U|Olofstrom 1 VE|Olofstrom 2 UI|Oskarshamn 1 V|Oskarshamn 2 U|Spjutsbygd 1 VS|Sodra_Vi 1 U|Sodra_Vi 2 ULAE|Solvesborg 2 U|Vetlanda 1 V|Vetlanda 2 U|Varnamo 1 V|Vastervik 1 V|Vastervik 2 U|Vaxjo 1 VSE|Vaxjo 2 U|145.500","Off","Off","Off","Off","Selected","0.0","0.0","0.0","0.0"
"13","LA","Bergen 2 VE|Bodo VI|Drammen 1 U|Drammen 2 V|Drammen 3 U|Egersund 2 V|Eidsvoll U|Follo 1 U|Follo 2 V|Fredrikstad 1 V|Fredrikstad 2 U|Grimstad UI|Haugesund 1 U|Hokasen 1 V|Hokasen 2 U|Hokasen 3 U|Kirkenes V|Kongsberg 1 U|Kongsberg 2 V|Kongsberg 3 U|Kongsvinger 1 U|Kongsvinger 3 V|Kristianstad 3 V|Kristianstad 4 V|Larvik VL|Meloy VLE|Mo_i_Rana 1 U|Mo_i_Rana 2 VE|Mo_i_Rana 3 VLI|Nesna ULI|Notodden 1 U|Notodden 2 VL|Oppdal V|Oslo 1 UE|Ralingen 1 U|Rodoy VLI|Sandnessjoen 1 U|Sandnessjoen 2 V|Skien 1 U|Skotterud VL|Stavanger 2 V|Sunnhordland V|S._Sunnmore VE|Torseterkampen U|Tromso 2 U|Tromso 3 V|Vangsasen U|Verdal 2 VL|Vesteralen V|Alvdalen 2 V","Off","Off","Off","Off","Selected","0.0","0.0","0.0","0.0"
"14","OH0","Dalkarby V|Jomala U","Off","Off","Off","Off","Selected","0.0","0.0","0.0","0.0"
"15","OH1","Jamijarvi U|Kaarina V|Kankaanpaa V|Kiukainen V|Kokemaki U|Koski U|Parainen U|Rauma U|Salo 1 V|Salo 2 U|Turku V|Uusikaupunki U","Off","Off","Off","Off","Selected","0.0","0.0","0.0","0.0"
"16","OH2","Artjarvi U|Espoo 1 U|Espoo 2 V|Espoo 3 V|Espoo 4 U|Helsinki 1 U|Helsinki 2 V|Jarvenpaa U|Lohja 2 V|Lohja 3 U|Loviisa 1 V|Loviisa 2 U|Porvoo 2 U|Vantaa 2 U","Off","Off","Off","Off","Selected","0.0","0.0","0.0","0.0"
"17","OH3","Erkyla V|Forssa V|Hameenlinna 2 V|Hameenlinna 3 U|Lahti 1 U|Lahti 2 V|Lahti 3 U|Riihimaki U|Tampere 2 UF|Tampere 3 UF|Tampere 4 V|Tampere 5 U|Vesijako U|Virrat U","Off","Off","Off","Off","Selected","0.0","0.0","0.0","0.0"
"18","OH4","Mikkeli 1 U|Mikkeli 2 V|Pieksamaki 1 U|Pieksamaki 2 V|Savonlinna V","Off","Off","Off","Off","Selected","0.0","0.0","0.0","0.0"
"19","OH5","Hamina U|Joutseno V|Kotka 2 V|Kouvola 2 U|Kuusankoski V|Lappeenranta 2 U","Off","Off","Off","Off","Selected","0.0","0.0","0.0","0.0"
"20","OH6","Jakobstad 1 VE|Jakobstad 2 U|Jamsa 2 V|Jamsankoski U|Jyvaskyla 2 V|Jyvaskyla 3 U|Jyvaskyla 4 U|Kauhajoki U|Kaustinen U|Kokkola 1|Kokkola 2 V|Kokkola 3 U|Lapua V|Narpio 1 V|Narpio 2 U|Pihtipudas V|Saarijarvi UF|Seinajoki 1 U|Seinajoki 2 V|Teuva U|Vaasa 1 U|Vaasa 2 V","Off","Off","Off","Off","Selected","0.0","0.0","0.0","0.0"
"21","OH7","Iisalmi 1 V|Iisalmi 2 U|Joensuu 1 V|Joensuu 2 U|Joensuu 3 V|Kuopio V|Nurmes V","Off","Off","Off","Off","Selected","0.0","0.0","0.0","0.0"
"22","OH8","Kajaani 1 V|Kajaani 2 U|Kuusamo 1 V|Kuusamo 2 U|Nivala V|Oulu 3 V|Oulu 4 U|Oulu 5 U|Pattijoki U|Ylivieska 2 U","Off","Off","Off","Off","Selected","0.0","0.0","0.0","0.0"
"23","OH9","Kemijarvi V|Kolari V|Rovaniemi 1 V|Rovaniemi 2 U|Tervola 2 V|Tornio U|Yllastunturi U","Off","Off","Off","Off","Selected","0.0","0.0","0.0","0.0"
"24","OZ","Aarhus U|Bandholm V|Dutterhoj U|Esbjerg 1 V|Eskebjerg U|Frederikshav 2 U|Gilleleje U|Gorlose U|Grenaa V|Hanstholm V|Helsingor 1 V|Helsingor 2 U|Herlev U|Herning 2 V|Hjorring V|Hobro U|Hundborg V|Knivsbjerg 1 U|Knivsbjerg 2 V|Maribo U|Nykobing ULI|Odense V|Randers V|Regnemark U|Ringsted 1 U|Ringsted 2 V|Roret 1 V|Roskilde U|Skive V|Svendborg 1 V|Svendborg 2 UE|Saby V|Skjoldbjerg V|Them V|Vejby V|Vejle U|Vejrhoj V|Vestjylland V|Vissenbjerg V|Vongshoj V|Yding 2 U|Yding 3 V|Ostermarie V|Aalborg 1 V|Aalborg 2 U|Vodskov U|Fredrikstad 4 U|Frederikshav 3 U|Aalborg 3 U+|Ringsted 3 U","Off","Off","Off","Off","Selected","0.0","0.0","0.0","0.0"
"25","TF","Akureyri V|Bruaras V|Burfell V|Reykjavik 1 V|Reykjavik 2 V|Thrandarhlidha V","Off","Off","Off","Off","Selected","0.0","0.0","0.0","0.0"
"26","JW","Svalbard V","Off","Off","Off","Off","Selected","0.0","0.0","0.0","0.0"
"27","Marin-VHF","Marin-VHF 16|Marin-VHF 67|Marin-VHF 71|Marin-VHF 73|Marin-VHF 74|Marin-VHF 69","Off","Off","Off","Off","Selected","0.0","0.0","0.0","0.0"
"28","PMR-SRBR","PMR 1|PMR 2|PMR 3|PMR 4|PMR 5|PMR 6|PMR 7|PMR 8|PMR 9|PMR 10|PMR 11|PMR 12|PMR 13|PMR 14|PMR 15|PMR 16|156.000|SRBR 1|SRBR 2|SRBR 3|SRBR 4|SRBR 5|SRBR 6|SRBR 7|SRBR 8","Off","Off","Off","Off","Selected","0.0","0.0","0.0","0.0"
"29","Jakt","Jakt-01|Jakt-02|Jakt-03|Jakt-04|Jakt-05|Jakt-06|Jakt-07","Off","Off","Off","Off","Selected","0.0","0.0","0.0","0.0"
"30","Simplex","145.225|145.375|145.450|145.500|433.450|433.500","Off","Off","Off","Off","Selected","0.0","0.0","0.0","0.0"
"31","Diverse","Oresundslinjen 1|Oresundslinjen 2|Oresundslinjen 3|Oresundslinjen 4","Off","Off","Off","Off","Selected","0.0","0.0","0.0","0.0"
"32","OH","Porvoo 2 U|Mikkeli 1 U|Lohja 2 V|Lappeenranta 2 U|Lahti 1 U|Kuusamo 1 V|Kouvola 2 U|Kotka 2 V|Kokkola 1|Jyvaskyla 2 V|Hameenlinna 2 V|Helsinki 1 U|Espoo 1 U|Tampere 2 UF|Tampere 3 UF|Tervola 2 V|Vantaa 2 U|Virrat U|Ylivieska 2 U","Off","Off","Off","Off","Selected","0.0","0.0","0.0","0.0"
